"SPACK","Ticker","Merger","Up-Front UW fee","Deferred UW fee","Number of underwriters","CEO's age","IPO Proceeds, $M","IPO Sector","IPO Geography","BCMA","Team","Age of the team"
"Counter Press","CPAQ","0","2","3.5","2","52","86.25","Media & Entertainment","Global","0","5","51"
"Crypto 1 Acq","DAOO","0","2","3.5","1","38","230","Financial","Global","0","8","55"
"Arena Fortify","AFAC","0","2","3.5","2","50","172.5","Materials","Global","1","6","48.83333333"
"Hunt Companies Acq Corp. I","HTAQ","0","2","3.5","1","51","230","Energy","Global","0","7","63.14285714"
"McLaren Technology","MLAI","0","2","3.5","1","53","201.25","Financial","Global","0","8","50.875"
"Seaport Calibre Materials","SCMA","0","2","3.5","2","51","230","Healthcare","Global","0","8","54.75"
"Thrive Acq","THAC","0","2","3.5","2","61","172.5","Healthcare","Global","0","7","56.71428571"
"Industrial Human Capital","AXHI","0","2","3","3","61","115","General","US/Canada","0","4","59.25"
"Sanaby Health I","SANB","0","2","3.5","2","45","172.5","Healthcare","Global","0","5","54.8"
"Parsec Capital","PCX","0","2","3.5","1","53","86.25","Technology","Global","0","6","59"
"Argus Capital","ARGU","0","2","3.5","2","53","304.75","Media & Entertainment","Global","0","13","51.84615385"
"SOAR Technology Acq","FLYA","0","2","3.5","3","40","230","General","Global","0","8","51.5"
"DTRT Health","DTRT","0","2","3.5","2","65","230","Healthcare","US/Canada","0","6","55.16666667"
"World Quantum Growth","WQGA","0","2","3.5","1","61","203.95","Financial","Global","0","7","56.14285714"
"Gobi Acq","GOBI","0","2","3.5","3","40","255.43","General","Asia","0","4","57"
"DILA Capital Acq","DILA","0","2","3.5","2","40","58.3","Technology","LatAm","1","7","45.28571429"
"Iron Spark I Inc.","ISAA","0","2","3.5","1","36","166.8","Consumer","Global","0","6","51.33333333"
"GigInternational1","GIW","0","2","3.5","2","47","209","General","EEMEA","0","7","61.14285714"
"ION Acq 3","IACC","0","2","3.5","3","45","253","Technology","EEMEA","0","6","51.66666667"
"Big Sky Growth Partners","BSKY","0","2","3.5","1","51","300","Consumer","Global","0","7","51.14285714"
"Glass Houses Acq","GLHA","0","2","3.5","1","39","220.47","Industrial","Global","0","6","43.16666667"
"KKR Acq I","KAHC","0","2","3.5","13","58","1380","Consumer","Global","0","4","58"
"Fortress Value Acq IV","FVIV","0","2","3.5","3","46","650","General","Global","0","8","46.125"
